nombre_audio,categoria,nombre_track
AVENTURAS V3.4-AVrT_01.R.wav,DLG,DIR 01
Diego Dumas l 1-2.6.wav,DLG,DIR 01
Diego Dumas l 1-2.7.wav,DLG,DIR 01
AVENTURAS V3.4-AVrT_01.L.wav,DLG,DIR 01
40 bramadores + mid-AVrT_01.L.wav,DLG,DIR 01
Diego Dumas l 1-2.8.wav,DLG,DIR 01
Diego Dumas l 1-2.8.wav,DLG,DIR 01
Diego Dumas l 1-2.21.wav,DLG,DIR 01
Diego Dumas l 1-2.8.wav,DLG,DIR 01
Diego Dumas l 1-2.2.wav,DLG,DIR 01
Dumas en Iglesia St. Ferdinand (2).wav,DLG,DIR 01
Diego Dumas l 1-2.9.wav,DLG,DIR 01
Diego Dumas l 1-2.10.wav,DLG,DIR 01
Diego Dumas l 1-2.10.wav,DLG,DIR 01
Diego Dumas l 1-2.10.wav,DLG,DIR 01
Diego Dumas l 1-2.13.wav,DLG,DIR 01
Cufr__ 7-Caminando junto al LEHG I-Tr1.wav,DLG,DIR 01
Cufr__ 7-Caminando junto al LEHG I-Tr1.1.wav,DLG,DIR 01
CRIOLLA FUGA 1_19.wav,DLG,DIR 01
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,DLG,DIR 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.wav,DLG,DIR 01
Boat Horn-SoundBible.com-15322206.L.wav,DLG,DIR 01
Cufr__ 13-Patio del museo-Tr1.wav,DLG,DIR 01
C0026.14.wav,DLG,DIR 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,DLG,DIR 01
CHACARERA.R.wav,DLG,DIR 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,DLG,DIR 01
CRIOLLA FUGA 1_10.wav,DLG,DIR 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,DLG,DIR 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,DLG,DIR 01
CRUZ DEL SUR 01.23.wav,DLG,DIR 01
Diego Dumas l 1-2.5.wav,DLG,DIR 01
Leyenda Voto-Dd_01.wav,DLG,DIR 01
Diego Dumas l 1-2.6.wav,DLG,DIR 01
DOBLE FUGA.R.wav,DLG,DIR 01
Alonso 1-2.wav,DLG,DIR 01
Alonso 1-2.7.wav,DLG,DIR 01
Alonso 1-2.1.wav,DLG,DIR 01
CRIOLLA FUGA 1_18.wav,DLG,DIR 01
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,DLG,DIR 01
Alonso 1-2.2.wav,DLG,DIR 01
Alonso 1-2.8.wav,DLG,DIR 01
Alonso 1-2.3.wav,DLG,DIR 01
Cufr__ 9-Cubierta LEHG I-Tr1.wav,DLG,DIR 01
Porto 1-2-3-4-5-6-7-8-Dd_01.wav,DLG,DIR 01
Dumas yendo al fondeadero (1).1.wav,DLG,DIR 02
CRUZ DEL SUR 02.5.wav,DLG,DIR 02
Dumas en Iglesia St. Ferdinand (4).1.wav,DLG,DIR 02
Entrevista Bossuet  Canon (1).MOV.1.wav,DLG,DIR 02
Entrevista Bossuet  Canon (1).2.wav,DLG,DIR 02
Entrevista Bossuet  Canon (1).2.wav,DLG,DIR 02
Entrevista Bossuet  Canon (1).3.wav,DLG,DIR 02
Entrevista Bossuet  Canon (2).2.wav,DLG,DIR 02
Entrevista Bossuet  Canon (2).3.wav,DLG,DIR 02
Entrevista Bossuet  Canon (3).1.wav,DLG,DIR 02
C_AGN_371_L1-XOTN_02.wav,DLG,DIR 02
C_AGN_371_L1-XOTN_03.wav,DLG,DIR 02
AVENTURAS V3.4-PiSh_04.L.wav,DLG,DIR 02
Diego Dumas l 1-2.11.wav,DLG,DIR 02
Diego Dumas l 1-2.12.wav,DLG,DIR 02
Diego Dumas l 1-2.13.wav,DLG,DIR 02
CAMPANA IGLESIA.aif-AVrP_01.R.wav,DLG,DIR 02
Diego Dumas l 1-2.14.wav,DLG,DIR 02
Diego Dumas l 1-2.15.wav,DLG,DIR 02
Diego Dumas l 1-2.16.wav,DLG,DIR 02
Diego Dumas l 1-2.17.wav,DLG,DIR 02
Diego Dumas l 1-2.18.wav,DLG,DIR 02
Diego Dumas l 1-2.18.wav,DLG,DIR 02
Diego Dumas l 1-2.19.wav,DLG,DIR 02
Diego Dumas l 1-2.20.wav,DLG,DIR 02
Diego Dumas l 1-2.21.wav,DLG,DIR 02
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,DLG,DIR 02
CHACARERA.R.wav,DLG,DIR 02
CHACARERA.L.wav,DLG,DIR 02
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,DLG,DIR 02
CRIOLLA FUGA 1_21.wav,DLG,DIR 02
Alonso 1-2.4.wav,DLG,DIR 02
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,DLG,DIR 02
Alonso 1-2.5.wav,DLG,DIR 02
A Cobertizo Chapa VIENTO!-Z2N5_02.L.wav,DLG,DIR 02
Alonso 1-2.6.wav,DLG,DIR 02
Alonso 1-2.9.wav,DLG,DIR 02
Alonso 1-2.7.wav,DLG,DIR 02
EL NAVEGANTE SOLITARIO-VFinal Bafici.R.wav,DLG,DIR 02
Porto 1-2-3-4-5-6-7-8-9-10.1.wav,DLG,DIR 02
CRUZ DEL SUR 02.wav,DLG,DIR 03
CRUZ DEL SUR 02.1.wav,DLG,DIR 03
CRUZ DEL SUR 02.2.wav,DLG,DIR 03
CRUZ DEL SUR 02.3.wav,DLG,DIR 03
Campanadas-Tr1-DVerb_01.wav,DLG,DIR 03
CRUZ DEL SUR 02.4.wav,DLG,DIR 03
CRUZ DEL SUR 02.5.wav,DLG,DIR 03
CRUZ DEL SUR 02.6.wav,DLG,DIR 03
CRUZ DEL SUR 02.7.wav,DLG,DIR 03
CRUZ DEL SUR 02.8.wav,DLG,DIR 03
CRUZ DEL SUR 02.9.wav,DLG,DIR 03
CRUZ DEL SUR 01.wav,DLG,DIR 03
CRUZ DEL SUR 01.1.wav,DLG,DIR 03
CRUZ DEL SUR 01.2.wav,DLG,DIR 03
CRUZ DEL SUR 01.3.wav,DLG,DIR 03
CRUZ DEL SUR 01.4.wav,DLG,DIR 03
CRUZ DEL SUR 01.5.wav,DLG,DIR 03
CRUZ DEL SUR 01.6.wav,DLG,DIR 03
CRUZ DEL SUR 01.7.wav,DLG,DIR 03
CRUZ DEL SUR 01.8.wav,DLG,DIR 03
CRUZ DEL SUR 01.9.wav,DLG,DIR 03
CRUZ DEL SUR 01.10.wav,DLG,DIR 03
CRUZ DEL SUR 01.11.wav,DLG,DIR 03
CRUZ DEL SUR 01.12.wav,DLG,DIR 03
CRUZ DEL SUR 01.13.wav,DLG,DIR 03
CRUZ DEL SUR 01.14.wav,DLG,DIR 03
CRUZ DEL SUR 01.15.wav,DLG,DIR 03
CRUZ DEL SUR 01.16.wav,DLG,DIR 03
C_AGN_371_L1_02.7.wav,DLG,DIR 03
STE-033.wav.1.wav,DLG,DIR 03
CRIOLLA FUGA 1_17.wav,DLG,DIR 03
Cufr__ 8-Caminando junto al LEHG I-Tr2.2.wav,DLG,DIR 03
STE-033.L.wav,DLG,DIR 03
STE-033.wav,DLG,DIR 03
STE-033.wav,DLG,DIR 03
40 BR LENTO TORMENTA.L.wav,DLG,DIR 03
01 - CRUZ DEL SUR-Ãltima.R.wav,DLG,DIR 03
STE-XOTN_01.wav,DLG,DIR 03
AVENTURAS V3.wav,DLG,DIR 03
STE-033.wav,DLG,DIR 03
STE-033.1.wav,DLG,DIR 03
STE-034.wav,DLG,DIR 03
AVENTURAS V3.4-PiSh_02.L.wav,DLG,DIR 03
C0026.6.wav,DLG,DIR 03
STE-034.1.wav,DLG,DIR 03
STE-Z2P5_01.wav,DLG,DIR 03
STE-Z2P5_01.wav,DLG,DIR 03
STE-Z2P5_01.wav,DLG,DIR 03
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,DLG,DIR 03
C_AGN_371_L1-Z2N5_02.wav,DLG,DIR 03
C_AGN_371_L1-Z2N5_02.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr2.1.wav,DLG,DIR 03
C_AGN_371_L1-Z2N5_02.wav,DLG,DIR 03
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,DLG,DIR 03
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,DLG,DIR 03
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,DLG,DIR 03
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,DLG,DIR 03
Dumas en Iglesia St. Ferdinand (4).1.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,DLG,DIR 03
Alonso 1-2.3.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.2.wav,DLG,DIR 03
01 - CRUZ DEL SUR-Ãltima.L.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,DLG,DIR 03
ENS ACTO 1 EXTRAS 2_04.R.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1-Dk_01.wav,DLG,DIR 03
EL NAVEGANTE SOLITARIO-VFinal Bafici.L.wav,DLG,DIR 03
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,DLG,DIR 03
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,DLG,DIR 03
Alvarez Forn 3-4.wav,DLG,DIR 03
Alvarez Forn 3-4.wav,DLG,DIR 03
Alvarez Forn 3-4.1.wav,DLG,DIR 03
Alvarez Forn 3-4.2.wav,DLG,DIR 03
Dumas en Iglesia St. Ferdinand (4).wav,DLG,DIR 03
Diego Dumas l 1-2.11.wav,DLG,DIR 03
Alvarez Forn 1-2.wav,DLG,DIR 03
Diego Dumas l 1-2.10.wav,DLG,DIR 03
Alvarez Forn 1-Dd_01.wav,DLG,DIR 03
CRUZ DEL SUR 02.10.wav,DLG,DIR 04
CRUZ DEL SUR 02.11.wav,DLG,DIR 04
CRUZ DEL SUR 02.12.wav,DLG,DIR 04
CRUZ DEL SUR 02.13.wav,DLG,DIR 04
C0026.10.wav,DLG,DIR 04
CRUZ DEL SUR 02.14.wav,DLG,DIR 04
CRUZ DEL SUR 02.15.wav,DLG,DIR 04
CRUZ DEL SUR 02.16.wav,DLG,DIR 04
CRUZ DEL SUR 02.17.wav,DLG,DIR 04
CRUZ DEL SUR 02.18.wav,DLG,DIR 04
CRUZ DEL SUR 02.19.wav,DLG,DIR 04
CRUZ DEL SUR 01.17.wav,DLG,DIR 04
CRUZ DEL SUR 01.18.wav,DLG,DIR 04
CRUZ DEL SUR 01.19.wav,DLG,DIR 04
CRUZ DEL SUR 01.20.wav,DLG,DIR 04
CRUZ DEL SUR 01.21.wav,DLG,DIR 04
CRUZ DEL SUR 01.22.wav,DLG,DIR 04
CRUZ DEL SUR 01.23.wav,DLG,DIR 04
CRUZ DEL SUR 01.24.wav,DLG,DIR 04
CRUZ DEL SUR 01.25.wav,DLG,DIR 04
CRUZ DEL SUR 01.26.wav,DLG,DIR 04
CRUZ DEL SUR 01.27.wav,DLG,DIR 04
CRUZ DEL SUR 01.28.wav,DLG,DIR 04
CRUZ DEL SUR 01.29.wav,DLG,DIR 04
CRUZ DEL SUR 01.30.wav,DLG,DIR 04
CRUZ DEL SUR 01.31.wav,DLG,DIR 04
CRUZ DEL SUR 01.32.wav,DLG,DIR 04
CRUZ DEL SUR 01.33.wav,DLG,DIR 04
STE-Dd_01.wav,DLG,DIR 04
STE-Dd_02.wav,DLG,DIR 04
STE-035.wav,DLG,DIR 04
01 - CRUZ DEL SUR-Ãltima.L.wav,DLG,DIR 04
C_AGN_371_L1_02.4.wav,DLG,DIR 04
C_AGN_371_L1_02.4.wav,DLG,DIR 04
C_AGN_371_L1_02.5.wav,DLG,DIR 04
C_AGN_371_L1_02.7.wav,DLG,DIR 04
Diego Dumas l 1-2.8.wav,DLG,DIR 04
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,DLG,DIR 04
Cufr__ 7-Caminando junto al LEHG I-Tr2.1.wav,DLG,DIR 04
Alonso 1-2.5.wav,DLG,DIR 04
Cufr__ 7-Caminando junto al LEHG I-Tr2.2.wav,DLG,DIR 04
Cufr__ 8-Caminando junto al LEHG I-Tr2.wav,DLG,DIR 04
Cufr__ 13-Patio del museo-Tr2.wav,DLG,DIR 04
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,DLG,DIR 04
